                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4576,                 3.0053,                 2.3099,                 1.5069,                0.39721,                 0.1393,                0.12114,                0.05167,                0.01869,                0.05473,                0.00657,                0.00242,                   2.25,                 80.782,                 3.7332,                 2.3585,               0.077002,                2.3e-06,                2.3e-06
                      2,                 1.2768,                  2.134,                 1.2001,                 1.3096,                0.49293,                0.25871,                0.32727,                0.17621,                0.30293,                0.14918,                0.12548,                0.03651,                 1.7742,                 16.857,                 2.4323,                 1.6745,               0.053005,             4.5449e-06,             4.5449e-06
                      3,                 1.1828,                 1.9742,                 1.0305,                 1.2459,                0.62618,                0.67164,                0.66303,                0.39978,                0.43046,                0.46269,                0.33739,                0.12451,                 1.3487,                  6.278,                 1.2241,                  1.313,               0.029007,             6.6314e-06,             6.6314e-06
                      4,                 1.1322,                 1.8648,                0.96199,                  1.229,                0.74114,                0.69154,                0.76499,                0.49438,                0.71242,                0.66667,                0.70836,                0.35412,                 1.2302,                   2.97,                   1.02,                 1.2542,              0.0050086,             8.5595e-06,             8.5595e-06
                      5,                 1.0951,                 1.8252,                0.90927,                 1.2093,                0.68137,                0.71144,                0.76652,                0.50422,                 0.7192,                0.69652,                0.76785,                0.46323,                 1.2089,                 2.2581,                0.99217,                  1.231,               8.68e-06,               8.68e-06,               8.68e-06
                      6,                 1.0976,                 1.8297,                0.90358,                 1.1988,                0.71972,                0.72139,                0.75259,                0.47867,                0.72309,                0.70149,                 0.7575,                0.45024,                  1.236,                 2.2787,                0.99415,                 1.2613,               8.35e-06,               8.35e-06,               8.35e-06
                      7,                 1.0763,                 1.7624,                 0.8496,                 1.1808,                0.76733,                0.69154,                0.75867,                0.49104,                0.76556,                0.69154,                  0.762,                0.46455,                 1.2357,                 2.1925,                0.99595,                 1.2639,               8.02e-06,               8.02e-06,               8.02e-06
                      8,                 1.0646,                 1.7034,                 0.7947,                 1.1697,                0.70968,                0.71144,                0.76719,                0.49283,                0.70654,                0.72637,                0.76761,                0.47469,                 1.2049,                 2.2115,                 1.0026,                 1.2256,               7.69e-06,               7.69e-06,               7.69e-06
                      9,                 1.0227,                 1.6872,                0.75109,                  1.151,                0.68372,                0.76617,                0.77292,                0.49986,                0.69208,                0.77612,                 0.7772,                0.47593,                 1.1953,                 2.1358,                0.97538,                 1.2136,               7.36e-06,               7.36e-06,               7.36e-06
                     10,                 1.0459,                 1.6845,                0.75279,                 1.1551,                 0.6871,                0.77567,                0.78106,                0.50481,                0.77498,                0.69154,                0.78883,                0.48393,                 1.1994,                 2.1279,                0.96661,                 1.2079,               7.03e-06,               7.03e-06,               7.03e-06
                     11,                 1.0347,                 1.6638,                 0.7322,                 1.1537,                0.67979,                 0.7288,                0.76225,                0.49804,                0.71152,                0.73627,                 0.7755,                0.48175,                  1.214,                 2.0992,                0.97995,                 1.2211,                6.7e-06,                6.7e-06,                6.7e-06
                     12,                0.99331,                 1.6449,                0.71243,                 1.1233,                0.68091,                0.74627,                0.77841,                 0.5022,                0.69452,                0.76119,                0.79751,                0.48069,                 1.2183,                 2.0428,                0.96121,                 1.2299,               6.37e-06,               6.37e-06,               6.37e-06
                     13,                 1.0094,                 1.6181,                0.70056,                 1.1399,                0.76055,                 0.6795,                0.77253,                0.49986,                0.77136,                0.68817,                0.77634,                0.48104,                 1.2141,                 2.0371,                 0.9429,                 1.2412,               6.04e-06,               6.04e-06,               6.04e-06
                     14,                0.96223,                 1.5899,                0.67858,                 1.1107,                0.78844,                0.68604,                0.77717,                0.49914,                0.80439,                0.69154,                0.78613,                0.47833,                 1.2338,                 2.1536,                 0.9488,                 1.2557,               5.71e-06,               5.71e-06,               5.71e-06
                     15,                0.96953,                 1.6029,                 0.6668,                 1.1161,                0.70297,                0.72637,                0.77976,                0.49646,                0.71754,                0.73304,                 0.7856,                 0.4708,                 1.2527,                 2.1896,                0.94622,                 1.2759,               5.38e-06,               5.38e-06,               5.38e-06
